station,valid,tmpc
AMW,2018-01-01 00:00,
AMW,2018-01-01 00:05,
AMW,2018-01-01 00:10,
AMW,2018-01-01 00:15,
AMW,2018-01-01 00:20,
AMW,2018-01-01 00:25,
AMW,2018-01-01 00:30,
AMW,2018-01-01 00:35,
AMW,2018-01-01 00:40,
AMW,2018-01-01 00:45,
AMW,2018-01-01 00:50,
AMW,2018-01-01 00:53,-24.39
AMW,2018-01-01 00:55,
AMW,2018-01-01 01:00,
AMW,2018-01-01 01:05,
AMW,2018-01-01 01:10,
AMW,2018-01-01 01:15,
AMW,2018-01-01 01:20,
AMW,2018-01-01 01:25,
AMW,2018-01-01 01:30,
AMW,2018-01-01 01:35,
AMW,2018-01-01 01:40,
AMW,2018-01-01 01:45,
AMW,2018-01-01 01:50,
AMW,2018-01-01 01:53,-25.00
AMW,2018-01-01 01:55,
AMW,2018-01-01 02:00,
AMW,2018-01-01 02:05,
AMW,2018-01-01 02:10,
AMW,2018-01-01 02:15,
AMW,2018-01-01 02:20,
AMW,2018-01-01 02:25,
AMW,2018-01-01 02:30,
AMW,2018-01-01 02:35,
AMW,2018-01-01 02:40,
AMW,2018-01-01 02:45,
AMW,2018-01-01 02:50,
AMW,2018-01-01 02:53,-25.61
AMW,2018-01-01 02:55,
AMW,2018-01-01 03:00,
AMW,2018-01-01 03:05,
AMW,2018-01-01 03:10,
AMW,2018-01-01 03:15,
AMW,2018-01-01 03:20,
AMW,2018-01-01 03:25,
AMW,2018-01-01 03:30,
AMW,2018-01-01 03:35,
AMW,2018-01-01 03:40,
AMW,2018-01-01 03:45,
AMW,2018-01-01 03:50,
AMW,2018-01-01 03:53,-26.11
AMW,2018-01-01 03:55,
AMW,2018-01-01 04:00,
AMW,2018-01-01 04:05,
AMW,2018-01-01 04:10,
AMW,2018-01-01 04:15,
AMW,2018-01-01 04:20,
AMW,2018-01-01 04:25,
AMW,2018-01-01 04:30,
AMW,2018-01-01 04:35,
AMW,2018-01-01 04:40,
AMW,2018-01-01 04:45,
AMW,2018-01-01 04:50,
AMW,2018-01-01 04:53,-26.11
AMW,2018-01-01 04:55,
AMW,2018-01-01 05:00,
AMW,2018-01-01 05:05,
AMW,2018-01-01 05:10,
AMW,2018-01-01 05:15,
AMW,2018-01-01 05:20,
AMW,2018-01-01 05:25,
AMW,2018-01-01 05:30,
AMW,2018-01-01 05:35,
AMW,2018-01-01 05:40,
AMW,2018-01-01 05:45,
AMW,2018-01-01 05:50,
AMW,2018-01-01 05:53,-26.11
AMW,2018-01-01 05:55,
AMW,2018-01-01 06:00,
AMW,2018-01-01 06:05,
AMW,2018-01-01 06:10,
AMW,2018-01-01 06:15,
AMW,2018-01-01 06:20,
AMW,2018-01-01 06:25,
AMW,2018-01-01 06:30,
AMW,2018-01-01 06:35,
AMW,2018-01-01 06:40,
AMW,2018-01-01 06:45,
AMW,2018-01-01 06:50,
AMW,2018-01-01 06:53,-27.22
AMW,2018-01-01 06:55,
AMW,2018-01-01 07:00,
AMW,2018-01-01 07:05,
AMW,2018-01-01 07:10,
AMW,2018-01-01 07:15,
AMW,2018-01-01 07:20,
AMW,2018-01-01 07:25,
AMW,2018-01-01 07:30,
AMW,2018-01-01 07:35,
AMW,2018-01-01 07:40,
AMW,2018-01-01 07:45,
AMW,2018-01-01 07:50,
AMW,2018-01-01 07:53,-29.39
AMW,2018-01-01 07:55,
AMW,2018-01-01 08:00,
AMW,2018-01-01 08:05,
AMW,2018-01-01 08:10,
AMW,2018-01-01 08:15,
AMW,2018-01-01 08:20,
AMW,2018-01-01 08:25,
AMW,2018-01-01 08:30,
AMW,2018-01-01 08:35,
AMW,2018-01-01 08:40,
AMW,2018-01-01 08:45,
AMW,2018-01-01 08:50,
AMW,2018-01-01 08:53,-29.39
AMW,2018-01-01 08:55,
AMW,2018-01-01 09:00,
AMW,2018-01-01 09:05,
AMW,2018-01-01 09:10,
AMW,2018-01-01 09:15,
AMW,2018-01-01 09:20,
AMW,2018-01-01 09:25,
AMW,2018-01-01 09:30,
AMW,2018-01-01 09:35,
AMW,2018-01-01 09:40,
AMW,2018-01-01 09:45,
AMW,2018-01-01 09:50,
AMW,2018-01-01 09:53,-29.39
AMW,2018-01-01 09:55,
AMW,2018-01-01 10:00,
AMW,2018-01-01 10:05,
AMW,2018-01-01 10:10,
AMW,2018-01-01 10:15,
AMW,2018-01-01 10:20,
AMW,2018-01-01 10:25,
AMW,2018-01-01 10:30,
AMW,2018-01-01 10:35,
AMW,2018-01-01 10:40,
AMW,2018-01-01 10:45,
AMW,2018-01-01 10:50,
AMW,2018-01-01 10:53,-30.00
AMW,2018-01-01 10:55,
AMW,2018-01-01 11:00,
AMW,2018-01-01 11:05,
AMW,2018-01-01 11:10,
AMW,2018-01-01 11:15,
AMW,2018-01-01 11:20,
AMW,2018-01-01 11:25,
AMW,2018-01-01 11:30,
AMW,2018-01-01 11:35,
AMW,2018-01-01 11:40,
AMW,2018-01-01 11:45,
AMW,2018-01-01 11:50,
AMW,2018-01-01 11:53,-30.00
AMW,2018-01-01 11:55,
AMW,2018-01-01 12:00,
AMW,2018-01-01 12:05,
AMW,2018-01-01 12:10,
AMW,2018-01-01 12:15,
AMW,2018-01-01 12:20,
AMW,2018-01-01 12:25,
AMW,2018-01-01 12:30,
AMW,2018-01-01 12:35,
AMW,2018-01-01 12:40,
AMW,2018-01-01 12:45,
AMW,2018-01-01 12:50,
AMW,2018-01-01 12:53,-29.39
AMW,2018-01-01 12:55,
AMW,2018-01-01 13:00,
AMW,2018-01-01 13:05,
AMW,2018-01-01 13:10,
AMW,2018-01-01 13:15,
AMW,2018-01-01 13:20,
AMW,2018-01-01 13:25,
AMW,2018-01-01 13:30,
AMW,2018-01-01 13:35,
AMW,2018-01-01 13:40,
AMW,2018-01-01 13:45,
AMW,2018-01-01 13:50,
AMW,2018-01-01 13:53,-30.00
AMW,2018-01-01 13:55,
AMW,2018-01-01 14:00,
AMW,2018-01-01 14:05,
AMW,2018-01-01 14:10,
AMW,2018-01-01 14:15,
AMW,2018-01-01 14:20,
AMW,2018-01-01 14:25,
AMW,2018-01-01 14:30,
AMW,2018-01-01 14:35,
AMW,2018-01-01 14:40,
AMW,2018-01-01 14:45,
AMW,2018-01-01 14:50,
AMW,2018-01-01 14:53,-28.28
AMW,2018-01-01 14:55,
AMW,2018-01-01 15:00,
AMW,2018-01-01 15:05,
AMW,2018-01-01 15:10,
AMW,2018-01-01 15:15,
AMW,2018-01-01 15:20,
AMW,2018-01-01 15:25,
AMW,2018-01-01 15:30,
AMW,2018-01-01 15:35,
AMW,2018-01-01 15:40,
AMW,2018-01-01 15:45,
AMW,2018-01-01 15:50,
AMW,2018-01-01 15:53,-25.61
AMW,2018-01-01 15:55,
AMW,2018-01-01 16:00,
AMW,2018-01-01 16:05,
AMW,2018-01-01 16:15,
AMW,2018-01-01 16:20,
AMW,2018-01-01 16:25,
AMW,2018-01-01 16:30,
AMW,2018-01-01 16:35,
AMW,2018-01-01 16:40,
AMW,2018-01-01 16:45,
AMW,2018-01-01 16:50,
AMW,2018-01-01 16:53,-22.78
AMW,2018-01-01 16:55,
AMW,2018-01-01 17:00,
AMW,2018-01-01 17:05,
AMW,2018-01-01 17:10,
AMW,2018-01-01 17:15,
AMW,2018-01-01 17:20,
AMW,2018-01-01 17:25,
AMW,2018-01-01 17:30,
AMW,2018-01-01 17:35,
AMW,2018-01-01 17:40,
AMW,2018-01-01 17:45,
AMW,2018-01-01 17:50,
AMW,2018-01-01 17:53,-21.72
AMW,2018-01-01 17:55,
AMW,2018-01-01 18:00,
AMW,2018-01-01 18:05,
AMW,2018-01-01 18:10,
AMW,2018-01-01 18:15,
AMW,2018-01-01 18:20,
AMW,2018-01-01 18:25,
AMW,2018-01-01 18:30,
AMW,2018-01-01 18:35,
AMW,2018-01-01 18:40,
AMW,2018-01-01 18:45,
AMW,2018-01-01 18:50,
AMW,2018-01-01 18:53,-21.11
AMW,2018-01-01 18:55,
AMW,2018-01-01 19:00,
AMW,2018-01-01 19:05,
AMW,2018-01-01 19:10,
AMW,2018-01-01 19:15,
AMW,2018-01-01 19:20,
AMW,2018-01-01 19:25,
AMW,2018-01-01 19:30,
AMW,2018-01-01 19:35,
AMW,2018-01-01 19:40,
AMW,2018-01-01 19:45,
AMW,2018-01-01 19:50,
AMW,2018-01-01 19:53,-20.00
AMW,2018-01-01 19:55,
AMW,2018-01-01 20:00,
AMW,2018-01-01 20:05,
AMW,2018-01-01 20:10,
AMW,2018-01-01 20:15,
AMW,2018-01-01 20:20,
AMW,2018-01-01 20:25,
AMW,2018-01-01 20:30,
AMW,2018-01-01 20:35,
AMW,2018-01-01 20:40,
AMW,2018-01-01 20:45,
AMW,2018-01-01 20:50,
AMW,2018-01-01 20:53,-20.61
AMW,2018-01-01 20:55,
AMW,2018-01-01 21:00,
AMW,2018-01-01 21:05,
AMW,2018-01-01 21:10,
AMW,2018-01-01 21:15,
AMW,2018-01-01 21:20,
AMW,2018-01-01 21:25,
AMW,2018-01-01 21:30,
AMW,2018-01-01 21:35,
AMW,2018-01-01 21:40,
AMW,2018-01-01 21:45,
AMW,2018-01-01 21:50,
AMW,2018-01-01 21:53,-21.11
AMW,2018-01-01 21:55,
AMW,2018-01-01 22:00,
AMW,2018-01-01 22:05,
AMW,2018-01-01 22:10,
AMW,2018-01-01 22:15,
AMW,2018-01-01 22:20,
AMW,2018-01-01 22:25,
AMW,2018-01-01 22:30,
AMW,2018-01-01 22:35,
AMW,2018-01-01 22:40,
AMW,2018-01-01 22:45,
AMW,2018-01-01 22:50,
AMW,2018-01-01 22:53,-22.22
AMW,2018-01-01 22:55,
AMW,2018-01-01 23:00,
AMW,2018-01-01 23:05,
AMW,2018-01-01 23:10,
AMW,2018-01-01 23:15,
AMW,2018-01-01 23:20,
AMW,2018-01-01 23:25,
AMW,2018-01-01 23:30,
AMW,2018-01-01 23:35,
AMW,2018-01-01 23:40,
AMW,2018-01-01 23:45,
AMW,2018-01-01 23:50,
AMW,2018-01-01 23:53,-24.39
AMW,2018-01-01 23:55,
AMW,2018-01-02 00:00,
AMW,2018-01-02 00:05,
AMW,2018-01-02 00:10,
AMW,2018-01-02 00:15,
AMW,2018-01-02 00:20,
AMW,2018-01-02 00:25,
AMW,2018-01-02 00:30,
AMW,2018-01-02 00:35,
AMW,2018-01-02 00:40,
AMW,2018-01-02 00:45,
AMW,2018-01-02 00:50,
AMW,2018-01-02 00:53,-25.00
AMW,2018-01-02 00:55,
AMW,2018-01-02 01:00,
AMW,2018-01-02 01:05,
AMW,2018-01-02 01:10,
AMW,2018-01-02 01:15,
AMW,2018-01-02 01:20,
AMW,2018-01-02 01:25,
AMW,2018-01-02 01:30,
AMW,2018-01-02 01:35,
AMW,2018-01-02 01:40,
AMW,2018-01-02 01:45,
AMW,2018-01-02 01:50,
AMW,2018-01-02 01:53,-26.72
AMW,2018-01-02 01:55,
AMW,2018-01-02 02:00,
AMW,2018-01-02 02:05,
AMW,2018-01-02 02:10,
AMW,2018-01-02 02:15,
AMW,2018-01-02 02:20,
AMW,2018-01-02 02:25,
AMW,2018-01-02 02:30,
AMW,2018-01-02 02:35,
AMW,2018-01-02 02:40,
AMW,2018-01-02 02:45,
AMW,2018-01-02 02:50,
AMW,2018-01-02 02:53,-27.78
AMW,2018-01-02 02:55,
AMW,2018-01-02 03:00,
AMW,2018-01-02 03:05,
AMW,2018-01-02 03:10,
AMW,2018-01-02 03:15,
AMW,2018-01-02 03:20,
AMW,2018-01-02 03:25,
AMW,2018-01-02 03:30,
AMW,2018-01-02 03:35,
AMW,2018-01-02 03:40,
AMW,2018-01-02 03:45,
AMW,2018-01-02 03:50,
AMW,2018-01-02 03:53,-27.22
